Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A44,7wImac3,Unknown,1,CTSD,Test,14.8632362049391,1,Pass,0.0139966567593099,82.2808781771997,999,1,
S03-A45,7wImac3,Unknown,1,IL10,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A46,7wImac3,Unknown,1,LY75,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A47,7wImac3,Unknown,1,SPHK1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A48,7wImac3,Unknown,1,blank3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A01,7wImac89,Unknown,1,ABCA1,Test,16.9224421229289,1,Pass,0.0139966567593099,77.688104200726,999,1,
S47-A02,7wImac89,Unknown,1,CD164,Test,15.4261153674745,1,Pass,0.0139966567593099,80.9357866686815,999,1,
S47-A03,7wImac89,Unknown,1,CXCL10,Test,18.4093771563259,0,Fail,0.0139966567593099,81.4228607368923,85.771854366708,0.0932846817265805,
S47-A04,7wImac89,Unknown,1,IL1A,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A05,7wImac89,Unknown,1,LYVE1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A06,7wImac89,Unknown,1,SPP1,Test,21.5995763462797,0,Fail,0.0139966567593099,999,83.2557082342057,0,
