Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062618MHMacrophages3-2\ChipRun.bml,1131264280,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/25/2018 8:50:24 PM,00:30:45,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S02-A33,7wM5mac4,Unknown,1,H2-AA,Test,8.46165634525614,1,Pass,0.0141259454859772,84.6598523703123,999,1,
S02-A34,7wM5mac4,Unknown,1,LAMP2,Test,15.4649679685309,1,Pass,0.0141259454859772,81.8947933203068,999,1,
S02-A35,7wM5mac4,Unknown,1,SELENOP,Test,19.5703348103801,1,Pass,0.0141259454859772,80.9511271511128,999,1,
S02-A36,7wM5mac4,Unknown,1,HIF1A,Test,15.350260536599,1,Pass,0.0141259454859772,76.1451327205548,999,1,
S02-A37,7wM5mac4,Unknown,1,CCR7,Test,14.215499353747,1,Pass,0.0141259454859772,81.7901219603534,999,1,
S02-A38,7wM5mac4,Unknown,1,CSF1R,Test,16.0574838773651,1,Pass,0.0141259454859772,82.1312802446552,999,1,
S02-A39,7wM5mac4,Unknown,1,H2-DMA,Test,13.3856974370795,1,Pass,0.0141259454859772,82.987081295502,999,1,
S02-A40,7wM5mac4,Unknown,1,LY6G,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A41,7wM5mac4,Unknown,1,SGPL1,Test,15.788394939391,1,Pass,0.0141259454859772,83.1538017241798,999,1,
S02-A42,7wM5mac4,Unknown,1,LTA,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A43,7wM5mac4,Unknown,1,CD14,Test,20.4847644149447,1,Pass,0.0141259454859772,83.4143421002022,999,1,
S02-A44,7wM5mac4,Unknown,1,CTSD,Test,19.0887598552036,1,Pass,0.0141259454859772,82.2183219997807,999,1,
S02-A45,7wM5mac4,Unknown,1,HIF2A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A46,7wM5mac4,Unknown,1,LY75,Test,21.9976863580167,1,Pass,0.0141259454859772,81.0907734898757,999,1,
S02-A47,7wM5mac4,Unknown,1,SPHK1,Test,18.39360093489,1,Pass,0.0141259454859772,87.5935045004677,999,1,
S02-A48,7wM5mac4,Unknown,1,LTB,Test,25.720007432746,1,Pass,0.0141259454859772,84.3879124309862,999,1,
S46-A01,7wM6mac29,Unknown,1,ABCA1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S46-A02,7wM6mac29,Unknown,1,CD164,Test,17.3584498743581,1,Pass,0.0141259454859772,80.3234088784259,999,1,
S46-A03,7wM6mac29,Unknown,1,CXCL10,Test,16.7465425634292,0,Fail,0.0141259454859772,82.1263424940319,84.7551673235815,0.334693644013534,
